"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
806,17.0567685637,-15.4605696754,1226.769,994.22,778458,994.22,778459,0.0,0.0%,1060
807,17.0479354116,-15.4579696302,1226.582,990.65,779448.6,990.65,779449.6,0.0,0.0%,1061
808,17.0394215630,-15.4612133151,1228.07,981.65,780430.3,981.65,780431.3,0.1,0.2%,1062
809,17.0315318119,-15.4596258760,1228,864.73,781295,864.73,781296,0.0,0.0%,1064
810,17.0275188247,-15.4516338778,1227.25,983.63,782278.7,983.63,782279.6,0.0,0.1%,1065
811,17.0240433659,-15.4434178829,1228.027,982.67,783261.3,982.67,783262.3,0.0,0.1%,1066
812,17.0149553506,-15.4434512305,1228.017,975.38,784236.7,975.38,784237.7,0.0,0.0%,1067
813,17.0059688346,-15.4413525855,1229,992.05,785228.8,992.05,785229.7,0.1,0.1%,1068
814,16.9970372858,-15.4387791604,1229.31,1000,786228.8,1000,786229.7,0.0,0.0%,1068
815,16.9883916386,-15.4375277773,1230.141,938.2,787167,938.2,787167.9,0.1,0.1%,1069
816,16.9812790533,-15.4433654508,1230.317,1000,788167,1000,788167.9,0.0,0.0%,1069
817,16.9724345129,-15.4449635322,1230.008,965.57,789132.5,965.57,789133.5,0.0,0.0%,1071
818,16.9642855025,-15.4409893530,1230.627,978.93,790111.5,978.93,790112.4,0.0,0.1%,1073
819,16.9589866768,-15.4336444006,1231.005,991.96,791103.4,991.96,791104.4,0.0,0.0%,1075
820,16.9621828617,-15.4255957348,1230.046,954.4,792057.8,954.4,792058.8,0.1,0.1%,1077
821,16.9619533016,-15.4190430163,1230.042,725.5,792783.3,725.5,792784.3,0.0,0.0%,1079
822,16.9549233465,-15.4140140599,1230.919,937.58,793720.9,937.59,793721.9,0.1,0.1%,1080
823,16.9500090898,-15.4066683406,1231.055,968.99,794689.9,968.99,794690.9,0.0,0.0%,1081
824,16.9414311213,-15.4033742443,1230.772,990.32,795680.2,990.32,795681.2,0.0,0.0%,1082
825,16.9332393964,-15.3992302763,1232,991.73,796671.9,991.73,796672.9,0.1,0.1%,1083
826,16.9242166352,-15.3974146563,1232.029,989.2,797661.1,989.2,797662.1,0.0,0.0%,1084
827,16.9184832745,-15.3905883812,1232.572,974.35,798635.5,974.35,798636.5,0.0,0.1%,1086
828,16.9161210266,-15.3841510993,1234.734,756.1,799391.6,756.1,799392.6,0.2,0.3%,1087
829,16.9248618047,-15.3872747488,1231.748,1000,800391.6,1000,800392.6,0.2,0.3%,1087
